ID,FAMILY,SEX,LSB,LSW,COHORT,area1,area6,area2,area3,area4,area5,area7,A1,A2,A3,A4,A5
556,3,M,10,10,1,0.4618513514,1.1268171722,5.3381301771,5.0077269525,12.0681289134,10.0485723918,1.1268171722,-1,0,-1,0,-1
557,3,M,10,10,1,0.4846627632,0.9146803491,4.7925557509,4.8480420967,11.7163432909,9.3533358782,0.9146803491,-1,0,0,0,0
558,3,M,10,10,1,0.6432006151,1.2348605559,6.4700839989,5.6863184593,12.4368243549,10.3987820744,1.2348605559,-1,0,-1,0,0
559,3,F,10,10,1,0.6016502391,1.0567968902,4.82771586609096,5.16131916114635,12.2640630690328,9.3614972642083,0.980510982524397,0,0,0,-1,-1
560,3,M,10,9,1,0.5421916621,0.8982546661,5.7479740864,5.1275205435,11.6077813587,9.3682893882,0.8982546661,-1,0,0,0,-1
561,3,F,10,9,1,0.6039546091,0.9901868848,5.31229863609096,4.58079698404635,11.6185353075328,9.6152125752083,0.913900977124397,-1,0,-1,-1,0
562,3,M,10,9,1,0.5463310879,0.8823824043,5.56376125679096,4.50337708484635,11.3947231540328,9.2278958988083,0.806096496624397,-1,0,0,-1,1
563,3,M,10,9,1,0.4944131327,0.9703826771,5.5583952091,4.6601892321,11.1650228802,9.8925155772,0.9703826771,0,0,-1,0,1
565,38,F,9,9,1,0.5551944227,1.0157084323,5.97871732290904,5.56525679335365,12.3625629881672,10.5741340537917,1.0919943399756,0,0,0,1,-1
566,38,M,9,9,1,0.5533188546,1.2014846645,6.0830951736,5.2174825383,12.3159388604,10.3419570796,1.2014846645,0,0,1,0,-1
567,38,M,9,9,1,0.4492397113,1.0090574019,5.8349405269,5.2750186725,11.6682654782,9.6224953281,1.0090574019,0,0,1,0,0
569,51,F,6,5,1,0.4704808185,1.1359958841,6.24408847260904,6.00532563725365,12.8834118231672,10.4034101735917,1.2122817917756,1,0,-1,1,0
570,51,F,6,5,1,0.6484499337,1.0577983989,5.41892533580904,5.02947513235365,12.6804290437672,10.5013774522917,1.1340843065756,1,-1,-1,1,-1
571,51,M,6,5,1,0.6169513294,1.0001154415,6.00174230550904,5.41126603245365,12.0172688782672,10.0355560390917,1.0764013491756,0,0,0,1,-1
572,15,F,5,5,1,0.6141412102,1.0605950982,5.29157589750904,5.35064663385365,12.2668854649672,10.0376168708917,1.1368810058756,1,-1,1,1,0
573,15,F,5,5,1,0.5926770241,0.908707156,4.31270162369096,4.62035606224635,10.6585393212328,9.3548201622083,0.832421248324397,-1,0,1,-1,0
574,15,F,5,6,1,0.5621143339,0.9644904579,5.15960050869096,4.93221117504635,12.0048353438328,9.6502083411083,0.888204550224397,1,-1,0,-1,0
575,51,M,6,6,1,0.8055480403,1.3190589071,6.60089109080904,6.27396958545365,12.7257262338672,11.2228133203917,1.3953448147756,1,0,0,1,-1
576,51,M,6,6,1,0.5362600388,1.2162042218,6.38205214600904,5.52028440615365,12.8757873992672,11.0629389155917,1.2924901294756,1,0,0,1,0
577,51,F,6,6,1,0.537695384,0.8774972016,5.02687488570904,4.67455267595365,11.3671544186672,9.3981393501917,0.953783109275603,1,0,-1,1,0
578,15,M,5,6,1,0.592143407,0.7470502444,5.9562949545,4.7803594606,11.8169398482,9.9238861763,0.7470502444,-1,-1,1,0,0
579,15,F,5,6,1,0.5064834756,0.8883525669,4.9876433826,4.1289354762,11.3558817016,9.0887595642,0.8883525669,0,1,1,0,0
580,8,M,9,8,1,0.5398995869,0.8483584644,5.37907640450904,4.64881444385365,11.5554646953672,9.6526528387917,0.924644372075603,0,1,0,1,0
581,7,F,8,8,1,0.4821591735,1.1602097075,4.44504826810904,5.19310291715365,11.6298243454672,9.2741701892917,1.2364956151756,-1,0,0,1,0
582,7,M,8,8,1,0.5414668519,1.0101141421,6.209506002,5.147386171,12.1102905365,10.5094974101,1.0101141421,0,-1,-1,0,0
583,8,F,9,8,1,0.6140573645,0.8714556067,4.97705514710904,5.49056463615365,11.4350223511672,9.6555769998917,0.947741514375603,1,0,0,1,0
