ID,FAMILY,SEX,LSB,LSW,COHORT,area1,area6,area2,area3,area4,area5,area7
492,11,F,8,8,1,0.5116681376,1.1014743949,5.57873105250242,5.58715324297825,12.189663102879,10.0476669711617,5.56471061076591
493,11,F,8,8,1,0.5132537783,1.080092107,4.57443254623664,4.19120241946685,11.3642604621682,9.87074382576175,5.23184160416591
494,14,F,7,8,1,0.5122849296,1.085277292,5.88479737236336,4.94554617083315,12.0254703096318,10.2424356753382,5.70484083833409
495,14,M,7,8,1,0.5644746659,1.0796692757,5.66656027186336,5.60481387123315,12.3923704200318,10.4755215093383,6.00832900183409
496,11,F,8,8,1,0.5346098512,0.9272427498,4.75990345130243,4.75062209907825,11.861943463679,9.55240098046175,5.42500281396591
497,14,M,7,8,1,0.6516512087,1.1680302445,6.42324239599758,5.67039037932175,12.675757403121,11.5921747044578,6.64120872168775
498,14,M,7,8,1,0.4806663923,1.1425775126,6.26353247606336,5.58681162523315,12.5655525416318,10.5542738659187,5.93936122208043
499,11,F,8,8,1,0.6422658529,0.7129404812,4.80231647403664,4.23796338886685,11.1513049714682,9.78934686686175,5.48408534216591
500,11,F,8,7,1,0.5532479244,1.0165881683,5.52037770486579,5.4021892901114,12.6114594912108,10.6077472503196,6.17003273925366
501,11,M,8,7,1,0.5842736071,1.1266997143,5.93598854519758,5.25140917392175,11.974687439621,11.2472428880578,5.99317225918775
502,11,M,8,7,1,0.5952790727,0.974126177,4.77096129317085,4.72252842165545,10.6555869202574,9.77207577518132,5.62460919841957
503,14,F,7,7,1,0.5123674839,1.0092745706,5.74511826576336,5.26731188623315,11.8516379989318,9.86392377251868,5.54124856838043
504,14,M,7,7,1,0.4659091562,0.9536585183,5.44095857512915,5.32874817614455,11.6533245610426,9.79826301675782,5.80462997058775
505,14,F,7,7,1,0.4769997091,0.9303925878,5.10818815286336,5.04050285413315,11.6909696468318,9.05373430761868,5.10223616418043
506,11,F,8,7,1,0.6051258363,0.9481153211,4.71593428777085,4.45759458755545,11.2394981232574,10.0350254462618,5.33509463846591
507,24,F,7,7,1,0.4851216951,0.89441853,5.01934468343664,4.18285955676685,11.1743820918682,9.12975694036175,6.09523252146591
508,12,F,11,7,1,0.596757254,0.8757790834,5.05048842096336,4.99835569113315,11.8533454611318,9.79334728711868,5.58172431618043
509,12,M,11,7,1,0.4478635439,1.0868280026,5.70256028696579,5.7637390589114,12.3503379866108,10.3241828912,5.5933207389
510,24,F,7,7,1,0.5826489625,1.0820775275,4.40183016813664,5.50220374056685,12.2405544005682,10.5462209220618,6.00922318926591
511,24,F,7,7,1,0.5481360571,0.7956152119,4.1433552703,3.9763704501,10.690127845,9.16861850401957,6.12860684725366
512,12,M,11,7,1,0.5226399583,1.0490700512,5.31564024656579,5.0022272564114,12.1659631398108,9.93087581431957,5.85387581595366
